sample_id,organism.x,total.x,duplicates,mapped,mean,max_ct,bc_amp_cycles,pooled,cap_lib_conc,amisuccessful,percent_bases_above_15,mapped_in_baited_region,frac_mapped
16P00684_S91,mycoplasma,1863475,16441,34346,0.81,32.55,NA,0,0.244,no,0,29703,0.018431157
17P00199_S92,mycoplasma,1753354,119101,408393,19.16,28.54,NA,0,0.532,no,66.2,406384,0.232921019
17P00326_S93,mycoplasma,1082454,282843,469131,12.24,31.59,NA,0,0.152,no,36.1,468126,0.433395784
AN16-06-B_S14,anthrax,16494712,615720,16151277,238.87,20,5,0,13.2,yes,100,16147832,0.979179085
AN16-06-I_S29,anthrax,7981644,3141259,3594698,6.57,37,6,0,0.37,no,5.9,3596582,0.450370625
AN16-06-T_S4,anthrax,2002470,1331598,1633991,4.79,28,5,0,0.16,no,2.7,1636510,0.815987755
AN16-120-S_S23,anthrax,9701900,329954,9572386,135.64,20,5,0,15.7,yes,100,9562527,0.986650656
AN16-130-S_S36,anthrax,5864007,521678,681103,1.79,35,5,0,0.28,no,0.8,809011,0.116149759
AN16-130-T_S25,anthrax,7061343,423553,6676126,94.01,24,5,0,2.7,yes,99.6,6708786,0.945447063
AN16-132-I_S32,anthrax,9065119,1632697,4432180,41.85,26,6,0,3.06,yes,98.6,4659875,0.488926841
AN16-135-2-T_S1,anthrax,12631531,630295,11247577,168.11,19,5,0,4,yes,100,11221715,0.890436559
AN16-14-S_S3,anthrax,13181242,850233,12988174,194.15,22,5,0,4.8,yes,100,12994682,0.985352822
AN16-144-S_S40,anthrax,6822094,1464397,6313639,74.73,26,6,0,2.98,yes,99.9,6287821,0.925469365
AN16-145-B_S1,anthrax,15383559,1235115,15249978,221.31,25,6,1,66,yes,100,15162149,0.991316639
AN16-145-S_S2,anthrax,32244050,2794894,31281918,421.74,22,6,1,66,yes,100,31612525,0.970160944
AN16-149-1-T_S26,anthrax,63955,154,1273,0.02,37,5,0,9.8,no,0,1267,0.01990462
AN16-149-2-T_S27,anthrax,24754236,989695,24638184,369.78,26,5,0,15.9,yes,100,24559450,0.995311833
AN16-150-B_S35,anthrax,9215161,2519344,5272043,43.19,31,5,0,0.78,yes,98.8,5256306,0.57210536
AN16-150-T_S24,anthrax,8871934,174070,286033,1.25,35,5,0,0.68,no,0.2,292336,0.032240208
AN16-152R-S_S37,anthrax,6051634,872726,4089963,48.19,30,5,0,1.76,yes,99.3,4105575,0.675844408
AN16-152R-T_S34,anthrax,8479266,2498929,5641992,47.44,26,5,0,0.68,yes,98.1,5638849,0.665386839
AN16-165-B_S12,anthrax,5616329,1113885,1248384,1.23,35,5,0,0.2,no,0.4,1561385,0.222277577
AN16-165-S_S22,anthrax,32708157,1498453,32345531,449.39,20,5,0,8.6,yes,100,32291415,0.988913285
