sample_id,organism.x,total.x,duplicates,mapped,mean,max_ct,bc_amp_cycles,cap_lib_conc,amisuccessful,%_bases_above_15,frac_mapped
AN17-271-T_S37,anthrax,4348808,168826,2892553,43.39,25,7,1.51,yes,96.8,0.6651369754654609
AN17-277-T_S41,anthrax,4213457,90440,720135,9.95,25,7,1.44,yes,16.1,0.17091310057276007
not-sequenced,anthrax,NA,NA,NA,NA,19,6,NA,NA,NA,NA
AN17-330-S_S7,anthrax,6004188,85220,121321,0.34,34,6,0.39,no,0.3,0.02020606283480797
AN17-338-S_S6,anthrax,7389871,1186596,6594645,85.71,26,6,3.02,yes,99.9,0.8923897318369969
AN17-381-T_S24,anthrax,2112649,4548,57683,0.71,28,7,1.29,no,0,0.027303636335236
AN17-384-S_S32,anthrax,4341887,415209,2389531,29.64,27,7,1.41,yes,93.3,0.550343894256115
AN17-387-S_S33,anthrax,5370605,429649,2058779,22.33,25,7,1.51,yes,73.4,0.3833421001916916
not-sequenced,anthrax,NA,NA,NA,NA,18,7,NA,NA,NA,NA
AN17-394-T_S40,anthrax,2099888,80677,888284,12.83,26,7,1.41,yes,34.5,0.42301494174927423
AN17-398-S_S34,anthrax,4401305,319040,3591529,50.75,25,7,1.29,yes,98.3,0.8160145684064158
AN17-399-T_S26,anthrax,4326346,178274,3184052,47.22,20,7,1.92,yes,91.2,0.7359679507834094
AN17-400-S_S28,anthrax,4483980,94459,656505,7.52,26,7,1.44,yes,6,0.14641122395728795
AN17-42-T_S5,anthrax,1354712,97347,755694,10.07,25,6,36,yes,18.2,0.5578263128989778
not-sequenced,anthrax,NA,NA,NA,NA,29,6,NA,NA,NA,NA
AN17-47_S31,anthrax,2271741,775362,1701777,13.46,26,6,0.39,yes,38.2,0.749106962457428
not-sequenced,anthrax,NA,NA,NA,NA,22,6,NA,NA,NA,NA
AN18-404-T_S16,anthrax,3294048,76790,643268,8.34,24,7,2.97,yes,12,0.19528191453190724
AN18-405-T_S14,anthrax,3975589,151702,3157845,44.47,20,7,2.97,yes,96.8,0.7943087175258811
AN18-408-S_S11,anthrax,7997345,466489,651501,2.26,33,6,0.36,no,0.7,0.08146466108439739
AN18-409-T_S15,anthrax,4842260,180436,1152487,14.82,24,7,1.92,yes,43.9,0.23800601372086588
AN18-410-T_S8,anthrax,10579050,2916675,6611692,57.57,28,6,0.89,yes,99.5,0.6249797477089153
AN18-410-S_S9,anthrax,6911668,1011817,4997098,62.84,24,6,2.12,yes,99.7,0.7229945072593186
AN18-415-B_S20,anthrax,8813842,1895624,3180357,19.77,30,6,1.05,yes,61.3,0.36083662493609486
AN18-415-S_S21,anthrax,7526118,2266277,6885766,73.67,27,6,2.38,yes,99.9,0.9149160297513274
AN18-416-S_S18,anthrax,7636545,1988206,5547323,56.69,26,6,1.77,yes,99.3,0.7264179023367243
AN18-416-T_S19,anthrax,6326252,857712,2003167,17.8,28,6,1.28,yes,53.3,0.3166435671547703
AN18-417-S_S17,anthrax,1219789,54867,1112564,16.53,27,6,2.32,yes,51.2,0.9120954525741747
AN18-418-T_S10,anthrax,5395161,465574,3057055,41.26,22,6,3.28,yes,98.6,0.5666290588918477
AN18-419-T_S16,anthrax,6873562,415177,6430905,95.8,20,6,3.2,yes,99.9,0.9356000571464984
AN18-420-T_S17,anthrax,4209906,108823,745077,9.4,25,7,1.41,yes,13.9,0.17698186135272378
