sample_id,total,mean,granular_third_quartile,granular_median,granular_first_quartile,percent_bases_above_15,filename,organism
AN18-415-B_S20,91709277,19.77,26,18,12,61.3,AN18-415-B_S20 ,anthrax
AN18-415-S_S21,341672241,73.67,90,73,58,99.9,AN18-415-S_S21 ,anthrax
AN18-416-S_S18,262925919,56.69,71,55,42,99.3,AN18-416-S_S18 ,anthrax
AN18-416-T_S19,82564753,17.8,25,16,10,53.3,AN18-416-T_S19 ,anthrax
AN18-417-S_S17,76679542,16.53,23,16,11,51.2,AN18-417-S_S17 ,anthrax
AN18-418-T_S10,191358398,41.26,52,40,31,98.6,AN18-418-T_S10 ,anthrax
AN18-419-T_S16,444310629,95.8,118,94,72,99.9,AN18-419-T_S16 ,anthrax
AN18-420-T_S17,43588292,9.4,13,10,7,13.9,AN18-420-T_S17 ,anthrax
AN18-421-T_S7,84136554,18.14,24,17,12,59,AN18-421-T_S7 ,anthrax
AN18-423-T_S38,95062343,20.5,27,20,14,68.5,AN18-423-T_S38 ,anthrax
AN18-427-S_S36,68491517,14.77,20,15,11,45.5,AN18-427-S_S36 ,anthrax
AN18-428-T_S27,110122358,23.74,31,23,17,78.8,AN18-428-T_S27 ,anthrax
AN18-431-T_S13,199636117,43.04,55,42,30,96.4,AN18-431-T_S13 ,anthrax
AN18-432-T_S23,60282812,13,14,10,7,16.9,AN18-432-T_S23 ,anthrax
AN18-433-T_S25,263822063,56.88,72,54,39,98.7,AN18-433-T_S25 ,anthrax
AN18-434-T_S6,75967029,16.38,22,16,11,51.3,AN18-434-T_S6 ,anthrax
AN18-436-T_S12,8557934,1.85,4,2,1,0.1,AN18-436-T_S12 ,anthrax
AN18-437-S_S35,290904042,62.72,77,62,49,99.7,AN18-437-S_S35 ,anthrax
AN18-438-T_S42,229775866,49.54,61,49,38,99.3,AN18-438-T_S42 ,anthrax
AN18-440-T_S8,19381975,4.18,7,5,3,0.3,AN18-440-T_S8 ,anthrax
AN18-447-B_S31,1299900241,280.28,373,242,159,100,AN18-447-B_S31 ,anthrax
AN18-447-S_S30,889621069,191.82,234,186,145,100,AN18-447-S_S30 ,anthrax
ANTH2-T_S43,1368565902,295.09,345,292,243,100,ANTH2-T_S43 ,anthrax
ANTH4-T_S44,362282802,78.11,96,76,59,99.9,ANTH4-T_S44 ,anthrax
anthrax-raw_S11,1365251625,294.37,356,290,229,100,anthrax-raw_S11 ,anthrax
LNA-1S-T_S2,75990451,16.38,23,15,9,47.5,LNA-1S-T_S2 ,anthrax
07B00774_S16,106469,0.11,1,1,1,0,07B00774_S16 ,mycoplasma
08B00436_S7,79675,0.08,1,1,1,0,08B00436_S7 ,mycoplasma
08B02193_S8,80962,0.08,1,1,1,0,08B02193_S8 ,mycoplasma
08B03746_S9,160473,0.16,1,1,1,0.1,08B03746_S9 ,mycoplasma
08B04270_S10,216923,0.22,1,1,1,0,08B04270_S10 ,mycoplasma
08B05877_S72,52999795,52.87,72,57,37,89.2,08B05877_S72 ,mycoplasma
08B06178_S73,109028860,108.76,146,116,78,92.9,08B06178_S73 ,mycoplasma
08B07005_S51,5722695,5.71,9,6,4,1.7,08B07005_S51 ,mycoplasma
08B07142_S58,56259695,56.12,76,60,40,89.8,08B07142_S58 ,mycoplasma
08B07429_S46,6653559,6.64,10,7,4,4.8,08B07429_S46 ,mycoplasma
08B07531_S87,61103353,60.96,81,66,46,90.7,08B07531_S87 ,mycoplasma
08B07900_S82,83981507,83.78,114,90,59,90.9,08B07900_S82 ,mycoplasma
08B08150_S17,347746,0.35,1,1,1,0,08B08150_S17 ,mycoplasma
08B08223_S59,7268212,7.25,11,8,5,5.9,08B08223_S59 ,mycoplasma
09B03105_S60,44001076,43.89,60,47,31,87.2,09B03105_S60 ,mycoplasma
09B03871_S62,148519086,148.16,197,158,106,95.1,09B03871_S62 ,mycoplasma
09B04230_S55,90978233,90.76,124,96,62,91.7,09B04230_S55 ,mycoplasma
09B04400_S74,76035076,75.85,101,81,55,92.1,09B04400_S74 ,mycoplasma
09B04923_S63,94388297,94.16,127,101,66,93,09B04923_S63 ,mycoplasma
09B05223_S75,27141689,27.08,38,29,19,80.7,09B05223_S75 ,mycoplasma
09B05312_S56,53261671,53.13,74,56,34,86.7,09B05312_S56 ,mycoplasma
09B05333_S70,123659383,123.36,165,132,88,94.4,09B05333_S70 ,mycoplasma
09B05567_S18,2699694,2.69,5,3,2,0.3,09B05567_S18 ,mycoplasma
09B05813_S57,101224357,100.98,140,105,65,91.2,09B05813_S57 ,mycoplasma
09B06142_S47,1590702,1.59,3,2,1,0,09B06142_S47 ,mycoplasma
09B07585_S52,21004463,20.95,30,22,13,69.2,09B07585_S52 ,mycoplasma
09B08129_S53,15887878,15.85,23,17,10,55,09B08129_S53 ,mycoplasma
09B10127_S48,55057137,54.92,75,59,39,89,09B10127_S48 ,mycoplasma
09B10514_S83,6240322,6.23,10,7,4,2.8,09B10514_S83 ,mycoplasma
09B11236_S84,37131057,37.04,50,40,27,86,09B11236_S84 ,mycoplasma
09B11424_S49,5781266,5.77,9,6,4,2.3,09B11424_S49 ,mycoplasma
09B11840_S79,104065201,103.81,142,109,69,92.8,09B11840_S79 ,mycoplasma
09B12007_S65,26879267,26.81,37,28,17,78.1,09B12007_S65 ,mycoplasma
09B12477_S80,113486990,113.21,156,118,72,92,09B12477_S80 ,mycoplasma
09B13235_S19,2697080,2.69,5,3,2,0.1,09B13235_S19 ,mycoplasma
09B13397_S66,29979573,29.91,42,31,19,80.3,09B13397_S66 ,mycoplasma
09B13724_S67,10406512,10.38,15,11,7,24,09B13724_S67 ,mycoplasma
10B00844_S54,23517473,23.46,33,25,15,74.9,10B00844_S54 ,mycoplasma
10B00921_S50,18797520,18.75,27,20,13,66.7,10B00921_S50 ,mycoplasma
10B01749_S64,36566685,36.48,51,39,24,84.1,10B01749_S64 ,mycoplasma
10B02215_S61,52274151,52.15,70,56,38,89.7,10B02215_S61 ,mycoplasma
10B03149_S85,37745713,37.65,51,40,28,87.2,10B03149_S85 ,mycoplasma
10B03341_S71,23071100,23.02,32,25,16,76.4,10B03341_S71 ,mycoplasma
10B03623_S86,98071643,97.83,129,104,74,93.5,10B03623_S86 ,mycoplasma
10B04567_S81,11149411,11.12,16,12,7,29,10B04567_S81 ,mycoplasma
10B04745_S88,111608001,111.34,153,115,71,92.2,10B04745_S88 ,mycoplasma
10B05371_S68,55910668,55.78,75,58,38,90.6,10B05371_S68 ,mycoplasma
10B05468_S69,183491969,183.05,245,192,126,95.8,10B05468_S69 ,mycoplasma
10B06036_S76,93235245,93.01,124,97,66,93.8,10B06036_S76 ,mycoplasma
10B06532_S77,50152106,50.03,68,52,33,87.6,10B06532_S77 ,mycoplasma
10B06604_S78,3681261,3.67,6,4,2,0.4,10B06604_S78 ,mycoplasma
10B07249_S89,648407,0.65,2,1,1,0,10B07249_S89 ,mycoplasma
16P00665_S90,221599,0.22,1,1,1,0,16P00665_S90 ,mycoplasma
16P00684_S91,809298,0.81,2,1,1,0,16P00684_S91 ,mycoplasma
17P00199_S92,19208614,19.16,27,20,12,66.2,17P00199_S92 ,mycoplasma
17P00326_S93,12271687,12.24,18,13,8,36.1,17P00326_S93 ,mycoplasma
