organism.x,sample_id,cap_lib_conc,init_lib_conc,max_ct,bc_amp_cycles,total.x,secondary,supplementary,duplicates,mapped,paired,read1,read2,properly_paired,with_itself_and_mate_mapped,singletons,mate_on_diff_chr,mate_on_diff_chrover5,total.y,mean,granular_third_quartile,granular_median,granular_first_quartile,%_bases_above_15,filename,organism.y,amisuccessful,frac_mapped,frac_duplicates
mycoplasma,09B05813_S57,2.9,32.2,24.85,NA,1863585,0,10087,102392,1511307,1853498,926749,926749,1437156,1491242,9978,0,0,101224357,100.98,140,105,65,91.2,09B05813_S57 ,mycoplasma,yes,0.8109675705696279,0.05494356307868973
mycoplasma,09B06142_S47,0.998,32.3,31.1,NA,3004699,0,159,7996,36078,3004540,1502270,1502270,34780,35752,167,0,0,1590702,1.59,3,2,1,0.0,09B06142_S47 ,mycoplasma,no,0.01200719273378132,0.002661165061791547
mycoplasma,09B07585_S52,0.488,28.5,30.18,NA,3287418,0,3184,197368,498859,3284234,1642117,1642117,476184,491854,3821,0,0,21004463,20.95,30,22,13,69.2,09B07585_S52 ,mycoplasma,no,0.1517479675538675,0.06003739104671204
mycoplasma,09B08129_S53,0.552,20.1,31.14,NA,2510560,0,1182,116772,344064,2509378,1254689,1254689,335726,341118,1764,0,0,15887878,15.85,23,17,10,55.0,09B08129_S53 ,mycoplasma,no,0.1370467146772035,0.04651233191001211
mycoplasma,09B10127_S48,0.77,26.9,28.71,NA,2875653,0,10715,269839,1040109,2864938,1432469,1432469,966512,1025164,4230,0,0,55057137,54.92,75,59,39,89.0,09B10127_S48 ,mycoplasma,yes,0.3616948915602821,0.09383573052798791
mycoplasma,09B10514_S83,1.83,42.1,32.61,NA,3088196,0,1742,25002,118117,3086454,1543227,1543227,114548,115690,685,0,0,6240322,6.23,10,7,4,2.8,09B10514_S83 ,mycoplasma,no,0.03824789618275524,0.008095988726104172
mycoplasma,09B11236_S84,1.09,28.9,29.27,NA,3242544,0,4550,197518,712302,3237994,1618997,1618997,675644,705040,2712,0,0,37131057,37.04,50,40,27,86.0,09B11236_S84 ,mycoplasma,yes,0.21967381167379688,0.0609145165030914
mycoplasma,09B11424_S49,0.53,28.6,29.46,NA,2764595,0,1577,30270,117093,2763018,1381509,1381509,106238,114600,916,0,0,5781266,5.77,9,6,4,2.3,09B11424_S49 ,mycoplasma,no,0.0423544859192757,0.010949162535561267
mycoplasma,09B11840_S79,0.59,15.7,27.56,NA,2462853,0,13205,464974,1907509,2449648,1224824,1224824,1809168,1887722,6582,0,0,104065201,103.81,142,109,69,92.8,09B11840_S79 ,mycoplasma,yes,0.7745119176824602,0.18879486514217456
mycoplasma,09B12007_S65,0.262,19.9,30.13,NA,4247924,0,12146,637301,1028265,4235778,2117889,2117889,953632,1010270,5849,0,0,26879267,26.81,37,28,17,78.1,09B12007_S65 ,mycoplasma,no,0.24206294651222574,0.15002645998374736
mycoplasma,09B12477_S80,3.12,27.3,20.25,NA,1990679,0,2781,118479,1664403,1987898,993949,993949,1625278,1642620,19002,0,0,113486990,113.21,156,118,72,92.0,09B12477_S80 ,mycoplasma,yes,0.8360981353598446,0.05951687841183837
mycoplasma,09B13235_S19,1.08,14.85,33.43,NA,2839243,0,1541,166081,207754,2837702,1418851,1418851,195940,204904,1309,0,0,2697080,2.69,5,3,2,0.1,09B13235_S19 ,mycoplasma,no,0.07317232093202308,0.058494817104418326
mycoplasma,09B13397_S66,0.384,21.9,30.47,NA,4182933,0,5375,494531,921188,4177558,2088779,2088779,882734,911626,4187,0,0,29979573,29.91,42,31,19,80.3,09B13397_S66 ,mycoplasma,yes,0.2202253777433203,0.11822589556179838
mycoplasma,09B13724_S67,0.416,26.1,29.75,NA,2660216,0,5400,95423,252014,2654816,1327408,1327408,241662,244558,2056,0,0,10406512,10.38,15,11,7,24.0,09B13724_S67 ,mycoplasma,no,0.0947344125439438,0.035870395486682284
mycoplasma,10B00844_S54,0.192,4.64,32.12,NA,2059195,0,7425,547210,885263,2051770,1025885,1025885,834810,874594,3244,0,0,23517473,23.46,33,25,15,74.9,10B00844_S54 ,mycoplasma,no,0.42990731815102506,0.26573976723913956
mycoplasma,10B00921_S50,1,31.1,28.76,NA,2832314,0,6508,90061,360525,2825806,1412903,1412903,348836,352058,1959,0,0,18797520,18.75,27,20,13,66.7,10B00921_S50 ,mycoplasma,no,0.12728991206483461,0.03179767497530288
mycoplasma,10B01749_S64,0.364,10.4,31.4,NA,2714150,0,3786,449592,963193,2710364,1355182,1355182,935810,956384,3023,0,0,36566685,36.48,51,39,24,84.1,10B01749_S64 ,mycoplasma,yes,0.3548783228635116,0.16564744026675018
mycoplasma,10B02215_S61,0.712,36.6,28.35,NA,3732845,0,6643,392339,1121101,3726202,1863101,1863101,1074190,1109670,4788,0,0,52274151,52.15,70,56,38,89.7,10B02215_S61 ,mycoplasma,yes,0.3003341954996792,0.10510455162215415
