sample_id,total,secondary,supplementary,duplicates,mapped,paired,read1,read2,properly_paired,with_itself_and_mate_mapped,singletons,mate_on_diff_chr,mate_on_diff_chrover5
AN18-405-T_S14,3975589,0,158659,151702,3157845,3816930,1908465,1908465,2947500,2971126,28060,0,0
AN18-408-S_S11,7997345,0,945,466489,651501,7996400,3998200,3998200,583512,586850,63706,0,0
AN18-409-T_S15,4842260,0,21282,180436,1152487,4820978,2410489,2410489,1065350,1118862,12343,0,0
AN18-410-S_S9,6911668,0,8996,1011817,4997098,6902672,3451336,3451336,4914808,4935364,52738,0,0
AN18-410-T_S8,10579050,0,28932,2916675,6611692,10550118,5275059,5275059,6441486,6509154,73606,0,0
AN18-415-B_S20,8813842,0,5816,1895624,3180357,8808026,4404013,4404013,3097808,3118856,55685,0,0
AN18-415-S_S21,7526118,0,7180,2266277,6885766,7518938,3759469,3759469,6835756,6857534,21052,0,0
AN18-416-S_S18,7636545,0,10989,1988206,5547323,7625556,3812778,3812778,5474384,5512644,23690,0,0
AN18-416-T_S19,6326252,0,1962,857712,2003167,6324290,3162145,3162145,1971226,1977664,23541,0,0
AN18-417-S_S17,1219789,0,2191,54867,1112564,1217598,608799,608799,1086196,1094360,16013,0,0
AN18-418-T_S10,5395161,0,4435,465574,3057055,5390726,2695363,2695363,3019364,3033616,19004,0,0
AN18-419-T_S16,6873562,0,15526,415177,6430905,6858036,3429018,3429018,6303738,6366650,48729,0,0
AN18-420-T_S17,4209906,0,30772,108823,745077,4179134,2089567,2089567,700114,700982,13323,0,0
AN18-421-T_S7,4290436,0,103606,108779,1408460,4186830,2093415,2093415,1262764,1275992,28862,0,0
AN18-423-T_S38,4287752,0,5838,132141,1426619,4281914,2140957,2140957,1400406,1418940,1841,0,0
AN18-427-S_S36,3788617,0,58407,377844,1385902,3730210,1865105,1865105,1305322,1309984,17511,0,0
AN18-428-T_S27,7683731,0,123317,445557,2091519,7560414,3780207,3780207,1934926,1948088,20114,0,0
AN18-431-T_S13,4011748,0,66018,409942,3200812,3945730,1972865,1972865,2945464,3112896,21898,0,0
AN18-432-T_S23,6413796,0,56176,561362,1585675,6357620,3178810,3178810,1303740,1309244,220255,0,0
AN18-433-T_S25,4616999,0,246697,175806,4066886,4370302,2185151,2185151,3704322,3735326,84863,0,0
AN18-434-T_S6,4270431,0,73533,142044,1265470,4196898,2098449,2098449,1168324,1182534,9403,0,0
AN18-436-T_S12,5793992,0,9830,33794,175047,5784162,2892081,2892081,156082,157252,7965,0,0
AN18-437-S_S35,4438962,0,136100,92350,4188571,4302862,2151431,2151431,4033064,4045330,7141,0,0
AN18-438-T_S42,4291321,0,13061,223210,3333694,4278260,2139130,2139130,3262554,3317790,2843,0,0
AN18-440-T_S8,2208572,0,20736,27762,316414,2187836,1093918,1093918,291352,294058,1620,0,0
AN18-447-B_S31,19550082,0,20242,1510846,18998952,19529840,9764920,9764920,18867028,18937450,41260,0,0
AN18-447-S_S30,14047951,0,14067,1381539,13399928,14033884,7016942,7016942,13304044,13355862,29999,0,0
ANTH2-T_S43,20795796,0,164016,1943690,20544338,20631780,10315890,10315890,19589280,20348580,31742,0,0
ANTH4-T_S44,6596944,0,34984,501666,5453425,6561960,3280980,3280980,5250944,5344594,73847,0,0
LNA-1S-T_S2,5830171,0,1381,3755378,4810614,5828790,2914395,2914395,4799114,4806180,3053,0,0
