sample_id,carcass_id,sequence_project_id,library_prep_batch,pool,date_collected,species,sample_type,max_ct,ct_1,ct_2,ct_3,sample_conc_ng_ul,neb_protocol,fragmentation_incubation,bc_amp_cycles,init_lib_conc,concentration_of_lib_performed,new_lib_conc_ng_ul,amplification_cycles_bait_capture,cap_lib_conc,cap_lib_reamp,polyomics,organism.x,total.x,duplicates,mapped,X,mean,granular_third_quartile,granular_median,granular_first_quartile,%_bases_above_15,filename,organism.y,amisuccessful,frac_mapped,frac_duplicates,total.y
AN17-196,AN17-196,1607,4,NA,22/08/2017,sheep,tissue,27,25,25,27,9.08,Chapter 2,8 min,6,10.5,,,14,0.53,,,anthrax,7784683,1735010,4833135,NA,41.9,53,40,30,97.3,AN17-196_S11 ,anthrax,yes,0.6208518702688344,0.22287484281633563,194322200
AN17-183,AN17-183,1607,4,NA,19/08/2017,sheep,tissue,25,24,24,25,22.9,Chapter 2,8 min,6,6.48,,,14,0.45,,,anthrax,7038015,1679780,3071634,NA,20.57,25,18,13,60.3,AN17-183_S18 ,anthrax,no,0.4364347049558718,0.2386724097632642,95393320
AN17-187,AN17-187,1607,4,NA,20/08/2017,sheep,tissue,24,24,23,24,17.2,Chapter 2,8 min,6,20.2,,,14,0.91,,,anthrax,2150739,100011,1678733,NA,23.58,30,23,18,83.8,AN17-187_S19 ,anthrax,yes,0.7805377593469035,0.04650076090125301,109345258
not-sequenced,AN17-218,not-sequenced,4,NA,26/08/2017,sheep,tissue,25,24,24,25,40.3,Chapter 2,8 min,6,0.17,,,NA,NA,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN17-189,AN17-189,1607,4,NA,21/08/2017,sheep,tissue,25,23,24,25,21.5,Chapter 2,8 min,6,16.7,,,14,0.74,,,anthrax,8033531,1317313,5144692,NA,58.22,71,55,43,99.7,AN17-189_S20 ,anthrax,yes,0.6404023336687192,0.16397683658655204,270024921
AN17-225,AN17-225,1607,4,NA,26/08/2017,sheep,tissue,24,22,23,24,9.44,Chapter 2,8 min,6,15.9,,,14,1.34,,,anthrax,4504320,254328,4197129,NA,59.94,73,58,46,99.8,AN17-225_S21 ,anthrax,yes,0.9318008045609548,0.05646312872975277,278003864
AN17-190,AN17-190,1607,4,NA,21/08/2017,sheep,tissue,19,19,19,19,36.4,Chapter 2,8 min,6,22.1,,,14,1.54,,,anthrax,8838502,655377,8083501,NA,113.33,135,109,87,100.0,AN17-190_S22 ,anthrax,yes,0.9145781717309109,0.07415023496063021,525590584
AN17-200,AN17-200,1607,4,NA,23/08/2017,sheep,tissue,20,20,20,20,23,Chapter 2,8 min,6,15.8,,,14,1.75,,,anthrax,4498484,181733,4241191,NA,60.82,75,59,45,99.7,AN17-200_S29 ,anthrax,yes,0.9428045092524504,0.04039872099133841,282081751
not-sequenced,AN17-222,not-sequenced,4,NA,26/08/2017,sheep,tissue,25,25,24,24,13.3,Chapter 2,8 min,6,0.16,,,NA,NA,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN17-197,AN17-197,1607,4,NA,22/08/2017,sheep,tissue,23,21,21,23,7.03,Chapter 2,8 min,6,8.43,,,14,0.89,,,anthrax,7327413,960156,6543886,NA,82.26,100,80,63,99.9,AN17-197_S30 ,anthrax,yes,0.893069081816461,0.13103615150394826,381496877
not-sequenced,AN17-91,not-sequenced,4,NA,04/07/2017,goat,tissue,22,22,21,21,47.2,Chapter 2,8 min,6,3.56,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN16-79,not-sequenced,4,NA,04/09/2016,sheep,tissue,26,24,25,26,8.3,Chapter 2,8 min,6,2.17,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN17-45,not-sequenced,4,NA,24/07/2017,sheep,swab,29,27,26,29,3.62,Chapter 2,8 min,6,1.65,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN17-47,AN17-47,1607,4,NA,25/07/2017,sheep,swab,26,25,24,26,8.53,Chapter 2,8 min,6,6.26,,,14,0.39,,,anthrax,2271741,775362,1701777,NA,13.46,18,14,10,38.2,AN17-47_S31 ,anthrax,no,0.749106962457428,0.34130739375659463,62434977
AN17-219,AN17-219,1607,4,NA,26/08/2017,sheep,tissue,25,25,24,25,13.9,Chapter 2,8 min,6,9.8,,,14,0.63,,,anthrax,8584109,1705926,6124650,NA,64.12,79,62,48,99.8,AN17-219_S3 ,anthrax,yes,0.7134869792543408,0.19873070111295185,297386661
not-sequenced,AN17-211,not-sequenced,4,NA,24/08/2017,sheep,tissue,20,20,20,20,15.3,Chapter 2,8 min,6,0.15,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN17-224,not-sequenced,4,NA,26/08/2017,sheep,tissue,25,25,23,25,39.4,Chapter 2,8 min,6,0.77,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN17-224,not-sequenced,4,NA,26/08/2017,sheep,tissue,25,25,23,25,39.4,Chapter 2,8 min,6,0.77,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN17-217,not-sequenced,4,NA,26/08/2017,sheep,tissue,25,25,23,23,26.2,Chapter 2,8 min,6,1.08,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN17-182,not-sequenced,4,NA,19/08/2017,goat,tissue,22,22,21,22,21.1,Chapter 2,8 min,6,1.67,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN17-194,AN17-194,1607,4,NA,22/08/2017,sheep,tissue,24,24,22,23,24.1,Chapter 2,8 min,6,7.29,,,14,0.58,,,anthrax,2130341,146738,1529162,NA,21.79,26,17,12,58.1,AN17-194_S1 ,anthrax,no,0.717801516283074,0.06888005253619021,101036630
AN17-186,AN17-186,1607,4,NA,20/08/2017,sheep,tissue,25,24,23,25,40,Chapter 2,8 min,6,8.4,,,14,0.57,,,anthrax,6396386,1665448,5006260,NA,52.26,65,51,39,99.4,AN17-186_S9 ,anthrax,yes,0.7826700890158912,0.26037327953628814,242353650
not-sequenced,AN17-389,not-sequenced,4,NA,23/11/2017,sheep,swab,18,18,17,18,4.22,Chapter 1,10 min,7,0.23,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN17-216,not-sequenced,4,NA,25/08/2017,sheep,blood,24,23,23,24,13.4,Chapter 1,10 min,7,0.52,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN17-224,not-sequenced,4,NA,26/08/2017,sheep,tissue,25,25,23,25,39.4,Chapter 1,10 min,7,6.24,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN17-224,not-sequenced,4,NA,26/08/2017,sheep,tissue,25,25,23,25,39.4,Chapter 1,10 min,7,6.24,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN17-184,not-sequenced,4,NA,19/08/2017,goat,tissue,25,25,24,25,53.5,Chapter 1,10 min,7,0.38,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
not-sequenced,AN17-184,not-sequenced,4,NA,19/08/2017,goat,tissue,25,25,24,25,53.5,Chapter 1,10 min,7,0.38,,,NA,,,,anthrax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AN17-228-S,AN17-228,1607,5,1,27/08/2017,sheep,swab,28,28,25,26,4.24,Chapter 1,10 min,7,30.2,,,14,1.88,,,anthrax,4563491,257698,1412671,NA,16.2,21,15,11,49.1,AN17-228-S_S4 ,anthrax,no,0.30955928257555454,0.05646948794245458,75140546
AN18-409-T,AN18-409,1607,5,2,22/01/2018,sheep,tissue,24,23,23,24,29.6,Chapter 1,10 min,7,49.5,,,14,1.92,,,anthrax,4842260,180436,1152487,NA,14.82,20,14,10,43.9,AN18-409-T_S15 ,anthrax,no,0.23800601372086588,0.037262765733355914,68725951
AN18-404-T,AN18-404,1607,5,3,19/01/2018,sheep,tissue,24,23,23,24,32.3,Chapter 1,10 min,7,48,,,14,2.97,,,anthrax,3294048,76790,643268,NA,8.34,12,8,5,12.0,AN18-404-T_S16 ,anthrax,no,0.19528191453190724,0.023311742876849395,38680061
